Calc. No.;Mgmt. dept. CD;Mgmt. dept. name;YM;LVL;Target item CD;Item CD;Item name;Item type name;Unit;Qty.;[STD]Qty.;Total;[STD]Total;Variable Cost;[STD]Variable Cost;Labour Cost;[STD]Labour Cost;Depreciation;[STD]Depreciation;Repair Maintenance;[STD]Repair Maintenance;Overhead Cost;[STD]Overhead Cost;Retur Cost;[STD]Retur Cost
BL576;2201;NEX - Mojokerto;01/04/2023 00:00;0;121000004;121000004;NH3;Raw Material;KG;669220;669220;625465.49;0;625465.49;0;0;0;0;0;0;0;0;0;0;0
BL576;2201;NEX - Mojokerto;01/04/2023 00:00;0;121000004;121000004;NH3;Raw Material;KG;0;0;0;427631.58;0;0;0;427631.58;0;0;0;0;0;0;0;0
BL576;2201;NEX - Mojokerto;01/04/2023 00:00;0;121000009;121000009;MAGNESIUM SULPHATE 99.5% MIN;Raw Material;KG;1000;1000;301.51;0;301.51;0;0;0;0;0;0;0;0;0;0;0
BL576;2201;NEX - Mojokerto;01/04/2023 00:00;0;121000009;121000009;MAGNESIUM SULPHATE 99.5% MIN;Raw Material;KG;0;0;0;212.5;0;0;0;212.5;0;0;0;0;0;0;0;0
BL576;2201;NEX - Mojokerto;01/04/2023 00:00;0;121000010;121000010;DL-METHIONINE Feed Grade 99%;Raw Material;KG;200;200;1244.15;0;1244.15;0;0;0;0;0;0;0;0;0;0;0
BL576;2201;NEX - Mojokerto;01/04/2023 00:00;0;121000010;121000010;DL-METHIONINE Feed Grade 99%;Raw Material;KG;0;0;0;1380;0;0;0;1380;0;0;0;0;0;0;0;0
BL576;2201;NEX - Mojokerto;01/04/2023 00:00;0;121000015;121000015;SS-50;Raw Material;KG;1000;1000;4214.05;0;4214.05;0;0;0;0;0;0;0;0;0;0;0
BL576;2201;NEX - Mojokerto;01/04/2023 00:00;0;121000015;121000015;SS-50;Raw Material;KG;0;0;0;3018.00936;0;0;0;3018.00936;0;0;0;0;0;0;0;0
BL576;2201;NEX - Mojokerto;01/04/2023 00:00;0;121000019;121000019;Thiamine Hydrochloride;Raw Material;G;405000;405000;21155.01;0;21155.01;0;0;0;0;0;0;0;0;0;0;0
BL576;2201;NEX - Mojokerto;01/04/2023 00:00;0;121000019;121000019;Thiamine Hydrochloride;Raw Material;G;0;0;0;19035;0;0;0;19035;0;0;0;0;0;0;0;0
BL576;2201;NEX - Mojokerto;01/04/2023 00:00;0;121000044;121000044;H2SO4 98 %;Raw Material;KG;1525100;1525100;207640.11;0;207640.11;0;0;0;0;0;0;0;0;0;0;0
BL576;2201;NEX - Mojokerto;01/04/2023 00:00;0;121000044;121000044;H2SO4 98 %;Raw Material;KG;0;0;0;141670.9008;0;0;0;141670.9008;0;0;0;0;0;0;0;0
BL576;2201;NEX - Mojokerto;01/04/2023 00:00;0;121000045;121000045;NaOH 48 %;Raw Material;KG;508880;508880;153949.29;0;153949.29;0;0;0;0;0;0;0;0;0;0;0
BL576;2201;NEX - Mojokerto;01/04/2023 00:00;0;121000045;121000045;NaOH 48 %;Raw Material;KG;0;0;0;108591.3586;0;0;0;108591.3586;0;0;0;0;0;0;0;0
BL576;2201;NEX - Mojokerto;01/04/2023 00:00;0;121000047;121000047;GARAM CUCI;Raw Material;KG;8000;8000;1606.54;0;1606.54;0;0;0;0;0;0;0;0;0;0;0
BL576;2201;NEX - Mojokerto;01/04/2023 00:00;0;121000047;121000047;GARAM CUCI;Raw Material;KG;0;0;0;957.14288;0;0;0;957.14288;0;0;0;0;0;0;0;0
BL576;2201;NEX - Mojokerto;01/04/2023 00:00;0;121000055;121000055;Na2CO3;Raw Material;KG;859380;859380;396120.46;0;396120.46;0;0;0;0;0;0;0;0;0;0;0
BL576;2201;NEX - Mojokerto;01/04/2023 00:00;0;121000055;121000055;Na2CO3;Raw Material;KG;0;0;0;225065.486;0;0;0;225065.486;0;0;0;0;0;0;0;0
