Calc. No.;Mgmt. dept. CD;Mgmt. dept. name;YM;LVL;Target item CD;Item CD;Item name;Item type name;Unit;Qty.;[STD]Qty.;Total;[STD]Total;Variable Cost;[STD]Variable Cost;Labour Cost;[STD]Labour Cost;Depreciation;[STD]Depreciation;Repair Maintenance;[STD]Repair Maintenance;Overhead Cost;[STD]Overhead Cost;Retur Cost;[STD]Retur Cost
BL572;2201;;2023/03/01 00:00;0;121000004;121000004;;;;1010300;1010300;932286.83;0;932286.83;0;0;0;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;0;121000004;121000004;;;;0;0;0;645581.7;0;0;0;645581.7;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;0;121000006;121000006;;;;0;0;162.62;0;162.62;0;0;0;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;0;121000008;121000008;;;;0;0;301.69;0;301.69;0;0;0;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;0;121000010;121000010;;;;200;200;1220.78;0;1220.78;0;0;0;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;0;121000010;121000010;;;;0;0;0;1380;0;0;0;1380;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;0;121000015;121000015;;;;500;500;1980.52;0;1980.52;0;0;0;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;0;121000015;121000015;;;;0;0;0;1509.00468;0;0;0;1509.00468;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;0;121000018;121000018;;;;25000;25000;2226.92;0;2226.92;0;0;0;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;0;121000018;121000018;;;;0;0;0;3839.28575;0;0;0;3839.28575;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;0;121000019;121000019;;;;290000;290000;16988.63;0;16988.63;0;0;0;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;0;121000019;121000019;;;;0;0;0;13630;0;0;0;13630;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;0;121000025;121000025;;;;99860;99860;56048.2;0;56048.2;0;0;0;0;0;0;0;0;0;0;0
BL572;2201;;2023/03/01 00:00;0;121000025;121000025;;;;0;0;0;30764.013;0;0;0;30764.013;0;0;0;0;0;0;0;0
