Posting Date;Document Date;Document Header Text;Material;Material Description;Plant;Storage Location;Movement Type;Material Document;Batch;Qty in Un. of Entry;Unit of Entry;Entry Date;Time of Entry;User name;Base Unit of Measure;Quantity;Amount in LC;Goods recipient
2022/04/28;2022/04/28;RS Dill 28.04.2022;121001071;Raw Sugar (F);2201;2018;Z03;4043995506;003/030853;-25.340;MT;2022/04/29;10:47:38;ID0857;MT;-25.340;0.00;211000076
2022/04/28;2022/04/28;RS Dill 28.04.2022;121001071;Raw Sugar (F);2201;2018;Z03;4043995506;003/030853;-23.820;MT;2022/04/29;10:47:38;ID0857;MT;-23.820;0.00;211000076
2022/04/28;2022/04/28;RS Dill 28.04.2022;121001071;Raw Sugar (F);2201;2018;Z03;4043995506;003/030853;-23.260;MT;2022/04/29;10:47:38;ID0857;MT;-23.260;0.00;211000076
2022/04/28;2022/04/28;RS Dill 28.04.2022;121001071;Raw Sugar (F);2201;2018;Z03;4043995506;003/030853;-23.940;MT;2022/04/29;10:47:38;ID0857;MT;-23.940;0.00;211000076
2022/04/27;2022/04/27;RS Dill 27.04.2022;121001071;Raw Sugar (F);2201;2018;Z03;4043988291;003/030853;-24.360;MT;2022/04/28;17:41:01;ID0857;MT;-24.360;0.00;211000076
2022/04/27;2022/04/27;RS Dill 27.04.2022;121001071;Raw Sugar (F);2201;2018;Z03;4043988291;003/030853;-24.120;MT;2022/04/28;17:41:01;ID0857;MT;-24.120;0.00;211000076
2022/04/27;2022/04/27;RS Dill 27.04.2022;121001071;Raw Sugar (F);2201;2018;Z03;4043988291;003/030853;-23.780;MT;2022/04/28;17:41:01;ID0857;MT;-23.780;0.00;211000076
2022/04/26;2022/04/26;RS Dill 26.04.2022;121001071;Raw Sugar (F);2201;2018;Z03;4043988272;003/030853;-24.680;MT;2022/04/28;17:40:22;ID0857;MT;-24.680;0.00;211000076
2022/04/26;2022/04/26;RS Dill 26.04.2022;121001071;Raw Sugar (F);2201;2018;Z03;4043988272;003/030853;-24.080;MT;2022/04/28;17:40:22;ID0857;MT;-24.080;0.00;211000076
2022/04/26;2022/04/26;RS Dill 26.04.2022;121001071;Raw Sugar (F);2201;2018;Z03;4043988272;003/030853;-22.780;MT;2022/04/28;17:40:22;ID0857;MT;-22.780;0.00;211000076
2022/04/26;2022/04/26;RS Dill 26.04.2022;121001071;Raw Sugar (F);2201;2018;Z03;4043988272;003/030853;-24.040;MT;2022/04/28;17:40:22;ID0857;MT;-24.040;0.00;211000076
