Posting Date;Document Date;Document Header Text;Material;Material Description;Plant;Storage Location;Movement Type;Material Document;Batch;Qty in Un. of Entry;Unit of Entry;Entry Date;Time of Entry;User name;Base Unit of Measure;Quantity;Amount in LC;Goods recipient
2022/07/18;2022/07/18;Kirim QA Prod. Lot 18;124000010;RC 900KG C/B Exp NEX;2201;2021;Z72;4045079159;P18072022;38;CB;2022/07/19;09:51:11;ID0290;CB;38;0.00;
2022/07/17;2022/07/17;Kirim QA Prod. Lot 16-17;124000010;RC 900KG C/B Exp NEX;2201;2021;Z72;4045056881;P16072022;88;CB;2022/07/18;08:53:55;ID0290;CB;88;0.00;
2022/07/17;2022/07/17;Kirim QA Prod. Lot 16-17;124000010;RC 900KG C/B Exp NEX;2201;2021;Z72;4045056881;P17072022;76;CB;2022/07/18;08:53:55;ID0290;CB;76;0.00;
2022/07/14;2022/07/14;Kirim QA Prod. Lot 14;124000010;RC 900KG C/B Exp NEX;2201;2021;Z72;4045034882;P14072022;80;CB;2022/07/15;09:25:29;ID0290;CB;80;0.00;
2022/07/04;2022/07/04;Kirim QA Prod. Lot 1-4;124000010;RC 900KG C/B Exp NEX;2201;2021;Z72;4044856749;P01072022;90;CB;2022/07/05;12:50:24;ID0290;CB;90;0.00;
2022/07/04;2022/07/04;Kirim QA Prod. Lot 1-4;124000010;RC 900KG C/B Exp NEX;2201;2021;Z72;4044856749;P03072022;50;CB;2022/07/05;12:50:24;ID0290;CB;50;0.00;
2022/07/04;2022/07/04;Kirim QA Prod. Lot 1-4;124000010;RC 900KG C/B Exp NEX;2201;2021;Z72;4044856749;P04072022;72;CB;2022/07/05;12:50:24;ID0290;CB;72;0.00;
2022/07/31;2022/07/31;Kirim QA Prod. Lot 31;124000012;RC 800KG C/B Exp NEX;2201;2021;Z72;4045276521;P31072022;95;CB;2022/08/01;08:57:25;ID0290;CB;95;0.00;
2022/07/30;2022/07/30;Kirim QA Prod. Lot 29-30;124000016;IRC 20KG P/B Exp NEX;2201;2021;Z72;4045276507;P29072022;500;BAG;2022/08/01;08:20:30;ID0290;BAG;500;0.00;
2022/07/28;2022/07/28;Kirim QA Prod. Lot 28;124000016;IRC 20KG P/B Exp NEX;2201;2021;Z72;4045255432;P28072022;700;BAG;2022/07/29;08:58:10;ID0290;BAG;700;0.00;
