Posting Date;Document Date;Document Header Text;Purchase Order;Reference;Material;Material Description;Plant;Storage Location;Movement Type;Material Document;Batch;Qty in Un. of Entry;Unit of Entry;Entry Date;Time of Entry;User name;Base Unit of Measure;Quantity;Debit/Credit Ind.;Amount in LC;Sales Order;Text;Customer;Vendor;Vendor Name;Goods recipient;SO;SaType;Sold to party;Name 1;PO Number;NO PEB;Tanggal PEB
2023/06/07;2023/06/10;;;2050195277;124000012;RC 800KG C/B Exp NEX;2201;2014;601;4050019391;P26032023;-48;MT;2023/06/20;15:44:26;ID0485;CB;-60;H;0;;;1100000001;;;1100000001;849783962;ZEXO;1100000001;AJINOMOTO CO., INC.;SY-23061;;
2023/05/20;2023/05/27;;;2050064988;124000012;RC 800KG C/B Exp NEX;2201;2014;601;4049705099;P26032023;-30.4;MT;2023/05/29;18:10:30;ID0485;CB;-38;H;0;;;1100000001;;;1100000001;849694729;ZEXO;1100000001;AJINOMOTO CO., INC.;SY-23051;;
2023/05/20;2023/05/27;;;2050064988;124000012;RC 800KG C/B Exp NEX;2201;2014;601;4049705099;P02032023;-33.6;MT;2023/05/29;18:10:30;ID0485;CB;-42;H;0;;;1100000001;;;1100000001;849694729;ZEXO;1100000001;AJINOMOTO CO., INC.;SY-23051;;
2023/04/14;2023/04/15;;;2049619160;124000012;RC 800KG C/B Exp NEX;2201;2014;601;4049139134;P01022023;-33.6;MT;2023/04/17;15:34:50;ID0485;CB;-42;H;0;;;1100000001;;;1100000001;849358311;ZEXO;1100000001;AJINOMOTO CO., INC.;SY-23041;;
2023/04/14;2023/04/15;;;2049619160;124000012;RC 800KG C/B Exp NEX;2201;2014;601;4049139134;P02032023;-46.4;MT;2023/04/17;15:34:50;ID0485;CB;-58;H;0;;;1100000001;;;1100000001;849358311;ZEXO;1100000001;AJINOMOTO CO., INC.;SY-23041;;
2023/03/08;2023/03/09;;;2049194162;124000012;RC 800KG C/B Exp NEX;2201;2014;601;4048791112;P26122022;-4;MT;2023/03/21;16:06:03;ID0485;CB;-5;H;0;;;1100000001;;;1100000001;849033378;ZEXO;1100000001;AJINOMOTO CO., INC.;SY-23032;;
2023/03/08;2023/03/09;;;2049194162;124000012;RC 800KG C/B Exp NEX;2201;2014;601;4048791112;P02012023;-101.6;MT;2023/03/21;16:06:03;ID0485;CB;-127;H;0;;;1100000001;;;1100000001;849033378;ZEXO;1100000001;AJINOMOTO CO., INC.;SY-23032;;
2023/03/08;2023/03/09;;;2049194162;124000012;RC 800KG C/B Exp NEX;2201;2014;601;4048791112;P01022023;-6.4;MT;2023/03/21;16:06:03;ID0485;CB;-8;H;0;;;1100000001;;;1100000001;849033378;ZEXO;1100000001;AJINOMOTO CO., INC.;SY-23032;;
2023/02/09;2023/02/11;;;2048862035;124000012;RC 800KG C/B Exp NEX;2201;2014;601;4048224837;P26122022;-48;MT;2023/02/15;14:26:48;ID0485;CB;-60;H;0;;;1100000001;;;1100000001;848802936;ZEXO;1100000001;AJINOMOTO CO., INC.;SY-23022;;
2023/01/16;2023/01/18;;;2048565963;124000012;RC 800KG C/B Exp NEX;2201;2014;601;4047947208;P02122022;-28;MT;2023/01/27;10:38:28;ID0485;CB;-35;H;0;;;1100000001;;;1100000001;848364580;ZEXO;1100000001;AJINOMOTO CO., INC.;SY-23011;;
2023/01/16;2023/01/18;;;2048565963;124000012;RC 800KG C/B Exp NEX;2201;2014;601;4047947208;P26122022;-52;MT;2023/01/27;10:38:28;ID0485;CB;-65;H;0;;;1100000001;;;1100000001;848364580;ZEXO;1100000001;AJINOMOTO CO., INC.;SY-23011;;
2023/06/07;2023/06/10;;;2050195277;124000016;IRC 20KG P/B Exp NEX;2201;2014;601;4050019391;P15042023;-1;MT;2023/06/20;15:44:26;ID0485;BAG;-50;H;0;;;1100000001;;;1100000001;849783962;ZEXO;1100000001;AJINOMOTO CO., INC.;SY-23061;;
2023/06/07;2023/06/10;;;2050195277;124000016;IRC 20KG P/B Exp NEX;2201;2014;601;4050019391;P03052023;-22;MT;2023/06/20;15:44:26;ID0485;BAG;-1100;H;0;;;1100000001;;;1100000001;849783962;ZEXO;1100000001;AJINOMOTO CO., INC.;SY-23061;;
2023/06/07;2023/06/10;;;2050195277;124000016;IRC 20KG P/B Exp NEX;2201;2014;601;4050019391;P04052023;-15;MT;2023/06/20;15:44:26;ID0485;BAG;-750;H;0;;;1100000001;;;1100000001;849783962;ZEXO;1100000001;AJINOMOTO CO., INC.;SY-23061;;
2023/06/07;2023/06/10;;;2050195277;124000016;IRC 20KG P/B Exp NEX;2201;2014;601;4050019391;P29052023;-14;MT;2023/06/20;15:44:26;ID0485;BAG;-700;H;0;;;1100000001;;;1100000001;849783962;ZEXO;1100000001;AJINOMOTO CO., INC.;SY-23061;;
2023/06/07;2023/06/10;;;2050195277;124000016;IRC 20KG P/B Exp NEX;2201;2014;601;4050019391;P30052023;-27;MT;2023/06/20;15:44:26;ID0485;BAG;-1350;H;0;;;1100000001;;;1100000001;849783962;ZEXO;1100000001;AJINOMOTO CO., INC.;SY-23061;;
2023/06/07;2023/06/10;;;2050195277;124000016;IRC 20KG P/B Exp NEX;2201;2014;601;4050019391;P31052023;-1;MT;2023/06/20;15:44:26;ID0485;BAG;-50;H;0;;;1100000001;;;1100000001;849783962;ZEXO;1100000001;AJINOMOTO CO., INC.;SY-23061;;
2023/05/20;2023/05/27;;;2050064988;124000016;IRC 20KG P/B Exp NEX;2201;2014;601;4049705099;P04042023;-500;BAG;2023/05/29;18:10:30;ID0485;BAG;-500;H;0;;;1100000001;;;1100000001;849694729;ZEXO;1100000001;AJINOMOTO CO., INC.;SY-23051;;
2023/05/20;2023/05/27;;;2050064988;124000016;IRC 20KG P/B Exp NEX;2201;2014;601;4049705099;P11042023;-1050;BAG;2023/05/29;18:10:30;ID0485;BAG;-1050;H;0;;;1100000001;;;1100000001;849694729;ZEXO;1100000001;AJINOMOTO CO., INC.;SY-23051;;
2023/05/20;2023/05/27;;;2050064988;124000016;IRC 20KG P/B Exp NEX;2201;2014;601;4049705099;P12042023;-800;BAG;2023/05/29;18:10:30;ID0485;BAG;-800;H;0;;;1100000001;;;1100000001;849694729;ZEXO;1100000001;AJINOMOTO CO., INC.;SY-23051;;
2023/05/20;2023/05/27;;;2050064988;124000016;IRC 20KG P/B Exp NEX;2201;2014;601;4049705099;P13042023;-900;BAG;2023/05/29;18:10:30;ID0485;BAG;-900;H;0;;;1100000001;;;1100000001;849694729;ZEXO;1100000001;AJINOMOTO CO., INC.;SY-23051;;
2023/05/20;2023/05/27;;;2050064988;124000016;IRC 20KG P/B Exp NEX;2201;2014;601;4049705099;P15042023;-750;BAG;2023/05/29;18:10:30;ID0485;BAG;-750;H;0;;;1100000001;;;1100000001;849694729;ZEXO;1100000001;AJINOMOTO CO., INC.;SY-23051;;
2023/05/11;2023/05/17;;;2049936139;124000016;IRC 20KG P/B Exp NEX;2201;2014;601;4049608057;P04042023;-11;MT;2023/05/23;12:31:24;ID0485;BAG;-550;H;0;;;1100000001;;;1100000001;849694801;ZEXO;1100000001;AJINOMOTO CO., INC.;ST-23051;;
2023/05/11;2023/05/17;;;2049936139;124000016;IRC 20KG P/B Exp NEX;2201;2014;601;4049608057;P29032023;-9;MT;2023/05/23;12:31:24;ID0485;BAG;-450;H;0;;;1100000001;;;1100000001;849694801;ZEXO;1100000001;AJINOMOTO CO., INC.;ST-23051;;
