Posting Date;Document Date;Document Header Text;Material;Material Description;Plant;Storage Location;Movement Type;Material Document;Batch;Qty in Un. of Entry;Unit of Entry;Entry Date;Time of Entry;User name;Base Unit of Measure;Quantity;Amount in LC;Goods recipient
2023/03/31;2023/03/31;BM Dill 31.03.2023;121001072;Beet Molasses (F);2201;2018;Z03;4048920880;002/078293;-235,905;MT;2023/04/01;16:22:26;ID0857;MT;-235,905;0;211000065
2023/03/25;2023/03/25;BM Dill 25.03.2023;121001072;Beet Molasses (F);2201;2018;Z03;4048821555;002/078293;-20;MT;2023/03/28;18:51:44;ID0857;MT;-20;0;211000065
2023/03/24;2023/03/24;BM Dill 24.03.2023;121001072;Beet Molasses (F);2201;2018;Z03;4048814093;002/078293;-20;MT;2023/03/25;12:48:56;ID0857;MT;-20;0;211000065
2023/03/23;2023/03/23;BM Dill 23.03.2023;121001072;Beet Molasses (F);2201;2018;Z03;4048814092;002/078293;-20;MT;2023/03/25;12:48:36;ID0857;MT;-20;0;211000065
2023/03/22;2023/03/22;BM Dill 22.03.2023;121001072;Beet Molasses (F);2201;2018;Z03;4048814091;002/078293;-20;MT;2023/03/25;12:48:21;ID0857;MT;-20;0;211000065
2023/03/21;2023/03/21;BM Dill 21.03.2023;121001072;Beet Molasses (F);2201;2018;Z03;4048814090;002/078293;-20;MT;2023/03/25;12:47:58;ID0857;MT;-20;0;211000065
2023/03/20;2023/03/20;BM Dill 20.03.2023;121001072;Beet Molasses (F);2201;2018;Z03;4048791727;002/078293;-20;MT;2023/03/21;17:31:49;ID0857;MT;-20;0;211000065
2023/03/18;2023/03/18;BM Dill 18.03.2023;121001072;Beet Molasses (F);2201;2018;Z03;4048791726;002/078293;-20;MT;2023/03/21;17:31:30;ID0857;MT;-20;0;211000065
2023/03/17;2023/03/17;BM Dill 17.03.2023;121001072;Beet Molasses (F);2201;2018;Z03;4048791721;002/078293;-20;MT;2023/03/21;17:31:11;ID0857;MT;-20;0;211000065
2023/03/16;2023/03/16;BM Dill 16.03.2023;121001072;Beet Molasses (F);2201;2018;Z03;4048791713;002/078293;-20;MT;2023/03/21;17:30:51;ID0857;MT;-20;0;211000065
2023/03/15;2023/03/15;BM Dill 15.03.2023;121001072;Beet Molasses (F);2201;2018;Z03;4048702664;002/078293;-20;MT;2023/03/16;12:37:24;ID0857;MT;-20;0;211000065
2023/03/14;2023/03/14;BM Dill 14.03.2023;121001072;Beet Molasses (F);2201;2018;Z03;4048681134;002/078293;-20;MT;2023/03/15;17:47:15;ID0857;MT;-20;0;211000065
2023/03/13;2023/03/13;BM Dill 13.03.2023;121001072;Beet Molasses (F);2201;2018;Z03;4048656477;002/078293;-20;MT;2023/03/14;12:20:12;ID0857;MT;-20;0;211000065
2023/03/11;2023/03/11;BM Dill 11.03.2023;121001072;Beet Molasses (F);2201;2018;Z03;4048656476;002/078293;-20;MT;2023/03/14;12:19:53;ID0857;MT;-20;0;211000065
2023/03/10;2023/03/10;BM Dill 10.03.2023;121001072;Beet Molasses (F);2201;2018;Z03;4048631536;002/078293;-20;MT;2023/03/11;12:09:13;ID0857;MT;-20;0;211000065
