Posting Date;Document Date;Document Header Text;Material;Material Description;Plant;Storage Location;Movement Type;Material Document;Batch;Qty in Un. of Entry;Unit of Entry;Entry Date;Time of Entry;User name;Base Unit of Measure;Quantity;Amount in LC;Goods recipient
2023/03/26;2023/03/26;KIRIM QA PROD 26;124000012;RC 800KG C/B Exp NEX;2201;2021;Z72;4048816493;P26032023;120;CB;2023/03/27;15:52:00;ID0643;CB;120;0;
2023/03/02;2023/03/02;KIRIM QA PROD 02;124000012;RC 800KG C/B Exp NEX;2201;2021;Z72;4048472950;P02032023;100;CB;2023/03/03;09:34:31;ID0643;CB;100;0;
2023/03/29;2023/03/29;KIRIM QA PROD 29;124000016;IRC 20KG P/B Exp NEX;2201;2021;Z72;4048880572;P29032023;600;BAG;2023/03/30;10:11:32;ID0643;BAG;600;0;
2023/03/28;2023/03/28;KIRIM QA PROD 27-28;124000016;IRC 20KG P/B Exp NEX;2201;2021;Z72;4048844358;P27032023;1200;BAG;2023/03/29;09:52:22;ID0643;BAG;1200;0;
2023/03/28;2023/03/28;KIRIM QA PROD 27-28;124000016;IRC 20KG P/B Exp NEX;2201;2021;Z72;4048844358;P28032023;1050;BAG;2023/03/29;09:52:22;ID0643;BAG;1050;0;
2023/03/25;2023/03/25;KIRIM QA PROD 25;124000016;IRC 20KG P/B Exp NEX;2201;2021;Z72;4048814280;P25032023;1600;BAG;2023/03/26;08:31:46;ID0643;BAG;1600;0;
2023/03/06;2023/03/06;KIRIM QA PROD 06;124000016;IRC 20KG P/B Exp NEX;2201;2021;Z72;4048541131;P06032023;2300;BAG;2023/03/07;12:40:20;ID0643;BAG;2300;0;
2023/03/01;2023/03/01;KIRIM QA PROD 01;124000016;IRC 20KG P/B Exp NEX;2201;2021;Z72;4048451042;P01032023;1000;BAG;2023/03/02;10:16:09;ID0643;BAG;1000;0;
2023/03/28;2023/03/28;KIRIM QA PROD 27-28;124000019;FC 800 C/B Exp NEX;2201;2021;Z72;4048844358;P27032023;15;CB;2023/03/29;09:52:22;ID0643;CB;15;0;
2023/03/23;2023/03/23;KIRIM QA PROD 22-23;124000019;FC 800 C/B Exp NEX;2201;2021;Z72;4048813442;P23032023;9;CB;2023/03/24;16:58:20;ID0643;CB;9;0;
2023/03/19;2023/03/19;KIRIM QA PROD 18-19;124000021;FC 25KG P/B POLOS NEX;2201;2021;Z72;4048748893;P18032023;510;BAG;2023/03/20;11:15:47;ID0643;BAG;510;0;
2023/03/17;2023/03/17;KIRIM QA PROD 17;124000021;FC 25KG P/B POLOS NEX;2201;2021;Z72;4048811183;P17032023;760;BAG;2023/03/22;12:27:46;ID0643;BAG;760;0;
