Posting Date;Document Date;Document Header Text;Material;Material Description;Plant;Storage Location;Movement Type;Material Document;Batch;Qty in Un. of Entry;Unit of Entry;Entry Date;Time of Entry;User name;Base Unit of Measure;Quantity;Amount in LC;Goods recipient
2023/03/31;2023/03/31;RS Dill 31.03.2023;121001071;Raw Sugar (F);2201;2018;Z03;4048920061;R20220916;-24,600;MT;2023/04/01;11:32:44;ID0857;MT;-24,600;0,00;211000076
2023/03/30;2023/03/30;RS Dill 30.03.2023;121001071;Raw Sugar (F);2201;2018;Z03;4048920060;R20220916;-25,900;MT;2023/04/01;11:32:09;ID0857;MT;-25,900;0,00;211000076
2023/03/30;2023/03/30;RS Dill 30.03.2023;121001071;Raw Sugar (F);2201;2018;Z03;4048920060;R20220916;-26,640;MT;2023/04/01;11:32:09;ID0857;MT;-26,640;0,00;211000076
2023/03/30;2023/03/30;RS Dill 30.03.2023;121001071;Raw Sugar (F);2201;2018;Z03;4048920060;R20220916;-25,160;MT;2023/04/01;11:32:09;ID0857;MT;-25,160;0,00;211000076
2023/03/29;2023/03/29;RS Dill 29.03.2023;121001071;Raw Sugar (F);2201;2018;Z03;4048881614;R20220916;-25,680;MT;2023/03/30;11:56:35;ID0857;MT;-25,680;0,00;211000076
2023/03/29;2023/03/29;RS Dill 29.03.2023;121001071;Raw Sugar (F);2201;2018;Z03;4048881614;R20220916;-25,220;MT;2023/03/30;11:56:35;ID0857;MT;-25,220;0,00;211000076
2023/03/29;2023/03/29;RS Dill 29.03.2023;121001071;Raw Sugar (F);2201;2018;Z03;4048881614;R20220916;-26,100;MT;2023/03/30;11:56:35;ID0857;MT;-26,100;0,00;211000076
2023/03/28;2023/03/28;RS Dill 28.03.2023;121001071;Raw Sugar (F);2201;2018;Z03;4048846748;R20220916;-25,900;MT;2023/03/29;18:26:18;ID0857;MT;-25,900;0,00;211000076
2023/03/28;2023/03/28;RS Dill 28.03.2023;121001071;Raw Sugar (F);2201;2018;Z03;4048846748;R20220916;-24,140;MT;2023/03/29;18:26:18;ID0857;MT;-24,140;0,00;211000076
2023/03/28;2023/03/28;RS Dill 28.03.2023;121001071;Raw Sugar (F);2201;2018;Z03;4048846748;R20220916;-25,900;MT;2023/03/29;18:26:18;ID0857;MT;-25,900;0,00;211000076
2023/03/28;2023/03/28;RS Dill 28.03.2023;121001071;Raw Sugar (F);2201;2018;Z03;4048846748;R20220916;-26,560;MT;2023/03/29;18:26:18;ID0857;MT;-26,560;0,00;211000076
2023/03/27;2023/03/27;RS Dill 27.03.2023;121001071;Raw Sugar (F);2201;2018;Z03;4048821549;R20220916;-25,980;MT;2023/03/28;18:50:47;ID0857;MT;-25,980;0,00;211000076
2023/03/27;2023/03/27;RS Dill 27.03.2023;121001071;Raw Sugar (F);2201;2018;Z03;4048821549;R20220916;-24,860;MT;2023/03/28;18:50:47;ID0857;MT;-24,860;0,00;211000076
2023/03/27;2023/03/27;RS Dill 27.03.2023;121001071;Raw Sugar (F);2201;2018;Z03;4048821549;R20220916;-26,300;MT;2023/03/28;18:50:47;ID0857;MT;-26,300;0,00;211000076
2023/03/27;2023/03/27;RS Dill 27.03.2023;121001071;Raw Sugar (F);2201;2018;Z03;4048821549;R20220916;-25,520;MT;2023/03/28;18:50:47;ID0857;MT;-25,520;0,00;211000076
2023/03/25;2023/03/25;RS Dill 25.03.2023;121001071;Raw Sugar (F);2201;2018;Z03;4048821542;R20220916;-24,660;MT;2023/03/28;18:50:09;ID0857;MT;-24,660;0,00;211000076
2023/03/25;2023/03/25;RS Dill 25.03.2023;121001071;Raw Sugar (F);2201;2018;Z03;4048821542;R20220916;-25,700;MT;2023/03/28;18:50:09;ID0857;MT;-25,700;0,00;211000076
2023/03/25;2023/03/25;RS Dill 25.03.2023;121001071;Raw Sugar (F);2201;2018;Z03;4048821542;R20220916;-25,680;MT;2023/03/28;18:50:09;ID0857;MT;-25,680;0,00;211000076
2023/03/25;2023/03/25;RS Dill 25.03.2023;121001071;Raw Sugar (F);2201;2018;Z03;4048821542;R20220916;-24,980;MT;2023/03/28;18:50:09;ID0857;MT;-24,980;0,00;211000076
2023/03/24;2023/03/24;RS Dill 24.03.2023;121001071;Raw Sugar (F);2201;2018;Z03;4048814086;R20220916;-25,380;MT;2023/03/25;12:45:45;ID0857;MT;-25,380;0,00;211000076
2023/03/24;2023/03/24;RS Dill 24.03.2023;121001071;Raw Sugar (F);2201;2018;Z03;4048814086;R20220916;-25,520;MT;2023/03/25;12:45:45;ID0857;MT;-25,520;0,00;211000076
2023/03/24;2023/03/24;RS Dill 24.03.2023;121001071;Raw Sugar (F);2201;2018;Z03;4048814086;R20220916;-25,760;MT;2023/03/25;12:45:45;ID0857;MT;-25,760;0,00;211000076
2023/03/24;2023/03/24;RS Dill 24.03.2023;121001071;Raw Sugar (F);2201;2018;Z03;4048814086;R20220916;-25,640;MT;2023/03/25;12:45:45;ID0857;MT;-25,640;0,00;211000076
2023/03/23;2023/03/23;RS Dill 23.03.2023;121001071;Raw Sugar (F);2201;2018;Z03;4048814087;R20220916;-25,980;MT;2023/03/25;12:46:22;ID0857;MT;-25,980;0,00;211000076
2023/03/23;2023/03/23;RS Dill 23.03.2023;121001071;Raw Sugar (F);2201;2018;Z03;4048814087;R20220916;-24,420;MT;2023/03/25;12:46:22;ID0857;MT;-24,420;0,00;211000076
2023/03/23;2023/03/23;RS Dill 23.03.2023;121001071;Raw Sugar (F);2201;2018;Z03;4048814087;R20220916;-26,160;MT;2023/03/25;12:46:22;ID0857;MT;-26,160;0,00;211000076
2023/03/23;2023/03/23;RS Dill 23.03.2023;121001071;Raw Sugar (F);2201;2018;Z03;4048814087;R20220916;-25,300;MT;2023/03/25;12:46:22;ID0857;MT;-25,300;0,00;211000076
2023/03/23;2023/03/23;RS Dill 23.03.2023;121001071;Raw Sugar (F);2201;2018;Z03;4048814087;R20220916;-25,440;MT;2023/03/25;12:46:22;ID0857;MT;-25,440;0,00;211000076
2023/03/22;2023/03/22;RS Dill 22.03.2023;121001071;Raw Sugar (F);2201;2018;Z03;4048814088;R20220916;-24,880;MT;2023/03/25;12:46:44;ID0857;MT;-24,880;0,00;211000076
2023/03/21;2023/03/21;RS Dill 21.03.2023;121001071;Raw Sugar (F);2201;2018;Z03;4048814089;R20220916;-25,080;MT;2023/03/25;12:47:21;ID0857;MT;-25,080;0,00;211000076
