Posting_Date;Document_Date;Document_Header_Text;Material;Material_Description;Plant;Storage_Location;Movement_Type;Material_Document;Batch;Qty_in_Un_of_Entry;Kilos_Convertion;Unit_of_Entry;Entry_Date;Time_of_Entry;User_name;Base_Unit_of_Measure;Quantity;Amount_in_LC;Goods_recipient;
2024/04/30 00:00:00;2024/04/30 00:00:00;RS Dill 30.04.2024;121001071;Raw Sugar (F);2201;2018;Z03;4054669952;103625/094;-23.960;-23,960.0000;MT;2024/05/02 00:00:00;14:58:59;ID0857;MT;-23.960;0.00;211000076;
2024/04/30 00:00:00;2024/04/30 00:00:00;RS Dill 30.04.2024;121001071;Raw Sugar (F);2201;2018;Z03;4054669952;103625/094;-24.060;-24,060.0000;MT;2024/05/02 00:00:00;14:58:59;ID0857;MT;-24.060;0.00;211000076;
2024/04/30 00:00:00;2024/04/30 00:00:00;RS Dill 30.04.2024;121001071;Raw Sugar (F);2201;2018;Z03;4054669952;103625/094;-24.040;-24,040.0000;MT;2024/05/02 00:00:00;14:58:59;ID0857;MT;-24.040;0.00;211000076;
2024/04/29 00:00:00;2024/04/29 00:00:00;RS Dill 29.04.2024;121001071;Raw Sugar (F);2201;2018;Z03;4054669951;103625/094;-24.220;-24,220.0000;MT;2024/05/02 00:00:00;14:57:55;ID0857;MT;-24.220;0.00;211000076;
2024/04/29 00:00:00;2024/04/29 00:00:00;RS Dill 29.04.2024;121001071;Raw Sugar (F);2201;2018;Z03;4054669951;103625/094;-23.980;-23,980.0000;MT;2024/05/02 00:00:00;14:57:55;ID0857;MT;-23.980;0.00;211000076;
2024/04/29 00:00:00;2024/04/29 00:00:00;RS Dill 29.04.2024;121001071;Raw Sugar (F);2201;2018;Z03;4054669951;103625/094;-24.380;-24,380.0000;MT;2024/05/02 00:00:00;14:57:55;ID0857;MT;-24.380;0.00;211000076;
2024/04/29 00:00:00;2024/04/29 00:00:00;RS Dill 29.04.2024;121001071;Raw Sugar (F);2201;2018;Z03;4054669951;103625/094;-24.140;-24,140.0000;MT;2024/05/02 00:00:00;14:57:55;ID0857;MT;-24.140;0.00;211000076;
2024/04/29 00:00:00;2024/04/29 00:00:00;RS Dill 29.04.2024;121001071;Raw Sugar (F);2201;2018;Z03;4054669951;103625/094;-24.220;-24,220.0000;MT;2024/05/02 00:00:00;14:57:55;ID0857;MT;-24.220;0.00;211000076;
2024/04/27 00:00:00;2024/04/27 00:00:00;RS Dill 27.04.2024;121001071;Raw Sugar (F);2201;2018;Z03;4054626784;103625/094;-23.820;-23,820.0000;MT;2024/04/27 00:00:00;15:22:24;ID0857;MT;-23.820;0.00;211000076;
2024/04/27 00:00:00;2024/04/27 00:00:00;RS Dill 27.04.2024;121001071;Raw Sugar (F);2201;2018;Z03;4054626784;103625/094;-24.100;-24,100.0000;MT;2024/04/27 00:00:00;15:22:24;ID0857;MT;-24.100;0.00;211000076;
2024/04/27 00:00:00;2024/04/27 00:00:00;RS Dill 27.04.2024;121001071;Raw Sugar (F);2201;2018;Z03;4054626784;103625/094;-24.100;-24,100.0000;MT;2024/04/27 00:00:00;15:22:24;ID0857;MT;-24.100;0.00;211000076;
2024/04/27 00:00:00;2024/04/27 00:00:00;RS Dill 27.04.2024;121001071;Raw Sugar (F);2201;2018;Z03;4054626784;103625/094;-23.960;-23,960.0000;MT;2024/04/27 00:00:00;15:22:24;ID0857;MT;-23.960;0.00;211000076;
2024/04/27 00:00:00;2024/04/27 00:00:00;RS Dill 27.04.2024;121001071;Raw Sugar (F);2201;2018;Z03;4054626784;103625/094;-24.120;-24,120.0000;MT;2024/04/27 00:00:00;15:22:24;ID0857;MT;-24.120;0.00;211000076;
2024/04/27 00:00:00;2024/04/27 00:00:00;Cancel 4054626784;121001071;Raw Sugar (F);2201;2018;Z04;4054629512;103625/094;24.120;24,120.0000;MT;2024/04/29 00:00:00;15:00:31;ID0857;MT;24.120;0.00;211000076;
2024/04/27 00:00:00;2024/04/27 00:00:00;Cancel 4054626784;121001071;Raw Sugar (F);2201;2018;Z04;4054629512;103625/094;23.960;23,960.0000;MT;2024/04/29 00:00:00;15:00:31;ID0857;MT;23.960;0.00;211000076;
2024/04/27 00:00:00;2024/04/27 00:00:00;Cancel 4054626784;121001071;Raw Sugar (F);2201;2018;Z04;4054629512;103625/094;24.100;24,100.0000;MT;2024/04/29 00:00:00;15:00:31;ID0857;MT;24.100;0.00;211000076;
2024/04/27 00:00:00;2024/04/27 00:00:00;Cancel 4054626784;121001071;Raw Sugar (F);2201;2018;Z04;4054629512;103625/094;24.100;24,100.0000;MT;2024/04/29 00:00:00;15:00:31;ID0857;MT;24.100;0.00;211000076;
2024/04/27 00:00:00;2024/04/27 00:00:00;Cancel 4054626784;121001071;Raw Sugar (F);2201;2018;Z04;4054629512;103625/094;23.820;23,820.0000;MT;2024/04/29 00:00:00;15:00:31;ID0857;MT;23.820;0.00;211000076;
2024/04/27 00:00:00;2024/04/27 00:00:00;RS Dill 27.04.2024;121001071;Raw Sugar (F);2201;2018;Z03;4054630070;103625/094;-24.020;-24,020.0000;MT;2024/04/29 00:00:00;15:58:14;ID0857;MT;-24.020;0.00;211000076;
2024/04/27 00:00:00;2024/04/27 00:00:00;RS Dill 27.04.2024;121001071;Raw Sugar (F);2201;2018;Z03;4054630070;103625/094;-24.500;-24,500.0000;MT;2024/04/29 00:00:00;15:58:14;ID0857;MT;-24.500;0.00;211000076;
2024/04/27 00:00:00;2024/04/27 00:00:00;RS Dill 27.04.2024;121001071;Raw Sugar (F);2201;2018;Z03;4054630070;103625/094;-23.920;-23,920.0000;MT;2024/04/29 00:00:00;15:58:14;ID0857;MT;-23.920;0.00;211000076;
2024/04/27 00:00:00;2024/04/27 00:00:00;RS Dill 27.04.2024;121001071;Raw Sugar (F);2201;2018;Z03;4054630070;103625/094;-24.240;-24,240.0000;MT;2024/04/29 00:00:00;15:58:14;ID0857;MT;-24.240;0.00;211000076;
2024/04/26 00:00:00;2024/04/26 00:00:00;RS Dill 26.04.2024;121001071;Raw Sugar (F);2201;2018;Z03;4054630113;103625/094;-23.820;-23,820.0000;MT;2024/04/29 00:00:00;16:00:31;ID0857;MT;-23.820;0.00;211000076;
