Posting Date;Document Date;Document Header Text;Material;Material Description;Plant;Storage Location;Movement Type;Material Document;Batch;Qty in Un. of Entry;Unit of Entry;Entry Date;Time of Entry;User name;Base Unit of Measure;Quantity;Amount in LC;Goods recipient
2022/11/03;2022/11/03;Kirim QA Prod. Lot 1-3;124000012;RC 800KG C/B Exp NEX;2201;2021;Z72;4046657821;P01112022;9;CB;2022/11/04;08:56:15;ID0290;CB;9;0.00;
2022/11/06;2022/11/06;Kirim QA Prod. Lot 5-6;124000016;IRC 20KG P/B Exp NEX;2201;2021;Z72;4046659554;P05112022;950;BAG;2022/11/07;09:26:43;ID0290;BAG;950;0.00;
2022/11/04;2022/11/04;Kirim QA Prod. Lot 4;124000016;IRC 20KG P/B Exp NEX;2201;2021;Z72;4046659075;P04112022;2400;BAG;2022/11/05;09:12:56;ID0290;BAG;2400;0.00;
2022/11/03;2022/11/03;Kirim QA Prod. Lot 1-3;124000016;IRC 20KG P/B Exp NEX;2201;2021;Z72;4046657821;P03112022;1200;BAG;2022/11/04;08:56:15;ID0290;BAG;1200;0.00;
2022/11/27;2022/11/27;Kirim QA Prod. Lot 25-27;124000021;FC 25KG P/B POLOS NEX;2201;2021;Z72;4046994515;P25112022;595;BAG;2022/11/28;08:52:37;ID0290;BAG;595;0.00;
2022/11/27;2022/11/27;Kirim QA Prod. Lot 25-27;124000021;FC 25KG P/B POLOS NEX;2201;2021;Z72;4046994515;P26112022;510;BAG;2022/11/28;08:52:37;ID0290;BAG;510;0.00;
2022/11/27;2022/11/27;Kirim QA Prod. Lot 25-27;124000021;FC 25KG P/B POLOS NEX;2201;2021;Z73;4047017461;P26112022;-510;BAG;2022/11/29;11:52:53;ID0290;BAG;-510;0.00;
2022/11/24;2022/11/24;Kirim QA Prod. Lot 22-24;124000021;FC 25KG P/B POLOS NEX;2201;2021;Z72;4046973530;P24112022;800;BAG;2022/11/25;14:39:30;ID0290;BAG;800;0.00;
2022/11/08;2022/11/08;Kirim QA Prod. Lot 8;124000021;FC 25KG P/B POLOS NEX;2201;2021;Z72;4046704669;P08112022;340;BAG;2022/11/09;11:33:53;ID0290;BAG;340;0.00;
2022/11/06;2022/11/06;Kirim QA Prod. Lot 5-6;124000021;FC 25KG P/B POLOS NEX;2201;2021;Z72;4046659554;P05112022;800;BAG;2022/11/07;09:26:43;ID0290;BAG;800;0.00;
2022/11/03;2022/11/03;Kirim QA Prod. Lot 1-3;124000033;RC 25KG P/B (HALAL Logo) NEX;2201;2021;Z72;4046657821;P03112022;2480;BAG;2022/11/04;08:56:15;ID0290;BAG;2480;0.00;
2022/11/03;2022/11/03;Kirim QA Prod. Lot 1-3;124000033;RC 25KG P/B (HALAL Logo) NEX;2201;2021;Z72;4046657821;P02112022;2400;BAG;2022/11/04;08:56:15;ID0290;BAG;2400;0.00;
2022/11/03;2022/11/03;Kirim QA Prod. Lot 1-3;124000033;RC 25KG P/B (HALAL Logo) NEX;2201;2021;Z72;4046657821;P01112022;960;BAG;2022/11/04;08:56:15;ID0290;BAG;960;0.00;
2022/11/29;2022/11/29;Kirim QA Prod. Lot 29;124000034;FC 25KG P/B (HALAL Logo) NEX;2201;2021;Z72;4047039198;P29112022;595;BAG;2022/11/30;09:01:48;ID0290;BAG;595;0.00;
2022/11/28;2022/11/28;Kirim QA Prod. Lot 28;124000034;FC 25KG P/B (HALAL Logo) NEX;2201;2021;Z72;4047016850;P28112022;1010;BAG;2022/11/29;09:34:32;ID0290;BAG;1010;0.00;
2022/11/26;2022/11/26;Kirim QA Prod. Lot 26;124000034;FC 25KG P/B (HALAL Logo) NEX;2201;2021;Z72;4047017462;P26112022;510;BAG;2022/11/29;11:54:24;ID0290;BAG;510;0.00;
2022/11/07;2022/11/07;Kirim QA Prod. Lot 7;124000034;FC 25KG P/B (HALAL Logo) NEX;2201;2021;Z72;4046681840;P07112022;1040;BAG;2022/11/08;08:46:21;ID0290;BAG;1040;0.00;
