Calc. No.;Mgmt. dept. CD;Mgmt. dept. name;YM;LVL;Target item CD;Item CD;Item name;Item type name;Unit;Qty.;[STD]Qty.;Total;[STD]Total;Variable Cost;[STD]Variable Cost;Labour Cost;[STD]Labour Cost;Depreciation;[STD]Depreciation;Repair Maintenance;[STD]Repair Maintenance;Overhead Cost;[STD]Overhead Cost;Retur Cost;[STD]Retur Cost
BL588;2201;;2023/03/01 00:00;0;121000000;121000000;;;MT;7479,42;7479,42;1412743,21;0;1412743,21;0;0;0;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;0;121000000;121000000;;;MT;0;0;0;1102847,812;0;0;0;1102847,812;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;0;121000004;121000004;;;KG;840400;840400;403609,37;0;403609,37;0;0;0;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;0;121000004;121000004;;;KG;0;0;0;537015,6;0;0;0;537015,6;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;0;121000008;121000008;;;KG;26400;26400;26356,14;0;26356,14;0;0;0;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;0;121000008;121000008;;;KG;0;0;0;25832,4;0;0;0;25832,4;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;0;121000009;121000009;;;KG;2000;2000;541,93;0;541,93;0;0;0;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;0;121000009;121000009;;;KG;0;0;0;425;0;0;0;425;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;0;121000010;121000010;;;KG;200;200;1185,47;0;1185,47;0;0;0;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;0;121000010;121000010;;;KG;0;0;0;1380;0;0;0;1380;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;0;121000015;121000015;;;KG;1000;1000;4064,51;0;4064,51;0;0;0;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;0;121000015;121000015;;;KG;0;0;0;3018,00936;0;0;0;3018,00936;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;0;121000017;121000017;;;G;10000;10000;6548,38;0;6548,38;0;0;0;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;0;121000019;121000019;;;G;300000;300000;14993,55;0;14993,55;0;0;0;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;0;121000019;121000019;;;G;0;0;0;14100;0;0;0;14100;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;0;121000043;121000043;;;KG;0;0;22,42;0;22,42;0;0;0;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;0;121000044;121000044;;;KG;1481280;1481280;162531,24;0;162531,24;0;0;0;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;0;121000044;121000044;;;KG;0;0;0;137600,3357;0;0;0;137600,3357;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;0;121000045;121000045;;;KG;539260;539260;165781,9;0;165781,9;0;0;0;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;0;121000045;121000045;;;KG;0;0;0;115074,2337;0;0;0;115074,2337;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;0;121000055;121000055;;;KG;1028780;1028780;302677,41;0;302677,41;0;0;0;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;0;121000055;121000055;;;KG;0;0;0;269430,1365;0;0;0;269430,1365;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;0;121000065;121000065;;;KG;180;180;671,23;0;671,23;0;0;0;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;0;121000065;121000065;;;KG;0;0;0;645,651756;0;0;0;645,651756;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;0;121000066;121000066;;;KG;9100;9100;1383,75;0;1383,75;0;0;0;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;0;121000066;121000066;;;KG;0;0;0;1348,813557;0;0;0;1348,813557;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;0;121000068;121000068;;;M3;1199205,88;1199205,88;411627,7;0;411627,7;0;0;0;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;0;121000068;121000068;;;M3;0;0;0;339632,2419;0;0;0;339632,2419;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;0;121000069;121000069;;;L;1200;1200;907,37;0;907,37;0;0;0;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;0;121000069;121000069;;;L;0;0;0;795,769368;0;0;0;795,769368;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;0;121000070;121000070;;;KG;65340;65340;4343,4;0;4343,4;0;0;0;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;0;121000070;121000070;;;KG;0;0;0;2951,967764;0;0;0;2951,967764;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;0;121000076;121000076;;;L;2875;2875;8105,64;0;8105,64;0;0;0;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;0;121000076;121000076;;;L;0;0;0;6160,714278;0;0;0;6160,714278;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;0;121000077;121000077;;;KG;45;45;164,61;0;164,61;0;0;0;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;0;121000077;121000077;;;KG;0;0;0;157,5;0;0;0;157,5;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;0;121000092;121000092;;;M3;176300;176300;3505,87;0;3505,87;0;0;0;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;0;121000092;121000092;;;M3;0;0;0;4596,393109;0;0;0;4596,393109;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;0;121000093;121000093;;;M3;36255;36255;2710,7;0;2710,7;0;0;0;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;0;121000093;121000093;;;M3;0;0;0;2006,973111;0;0;0;2006,973111;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;0;121000094;121000094;;;KG;500;500;1348,39;0;1348,39;0;0;0;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;0;121000094;121000094;;;KG;0;0;0;1321,42857;0;0;0;1321,42857;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;0;121000099;121000099;;;KG;200;200;923,87;0;923,87;0;0;0;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;0;121000099;121000099;;;KG;0;0;0;957,142858;0;0;0;957,142858;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;0;121000100;121000100;;;KG;120;120;575,23;0;575,23;0;0;0;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;0;121000100;121000100;;;KG;0;0;0;582,8571432;0;0;0;582,8571432;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;0;121000109;121000109;;;KG;680;680;1272,26;0;1272,26;0;0;0;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;0;121000109;121000109;;;KG;0;0;0;1311,428572;0;0;0;1311,428572;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;0;121000110;121000110;;;KG;340;340;320,26;0;320,26;0;0;0;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;0;121000110;121000110;;;KG;0;0;0;327,8571414;0;0;0;327,8571414;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;0;121000227;121000227;;;KG;400;400;2234,84;0;2234,84;0;0;0;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;0;121000227;121000227;;;KG;0;0;0;2300;0;0;0;2300;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;0;121000230;121000230;;;KG;20200;20200;2735,22;0;2735,22;0;0;0;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;0;121000230;121000230;;;KG;0;0;0;2452,857114;0;0;0;2452,857114;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;0;121000233;121000233;;;MWH;2105280;2105280;135799,18;0;135799,18;0;0;0;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;0;121000233;121000233;;;MWH;0;0;0;170377,2998;0;0;0;170377,2998;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;0;121000236;121000236;;;KG;50;50;68,2;0;68,2;0;0;0;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;0;121000240;121000240;;;MWH;3725240;3725240;2124,06;0;2124,06;0;0;0;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;0;121000240;121000240;;;MWH;0;0;0;6748,495774;0;0;0;6748,495774;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;0;121000292;121000292;;;KG;100;100;315,48;0;315,48;0;0;0;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;0;121000292;121000292;;;KG;0;0;0;314,285714;0;0;0;314,285714;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;0;121000295;121000295;;;KG;40;40;41,29;0;41,29;0;0;0;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;0;121000295;121000295;;;KG;0;0;0;41,4285716;0;0;0;41,4285716;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;0;121000296;121000296;;;KG;120;120;384;0;384;0;0;0;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;0;121000296;121000296;;;KG;0;0;0;394,2857148;0;0;0;394,2857148;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;0;121000298;121000298;;;KG;60;60;156,39;0;156,39;0;0;0;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;0;121000298;121000298;;;KG;0;0;0;160,7142858;0;0;0;160,7142858;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;0;121000299;121000299;;;KG;800;800;1166,45;0;1166,45;0;0;0;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;0;121000299;121000299;;;KG;0;0;0;1171,428568;0;0;0;1171,428568;0;0;0;0;0;0;0;0
BL588;2201;;2023/03/01 00:00;0;121000322;121000322;;;KG;15400;15400;29299,48;0;29299,48;0;0;0;0;0;0;0;0;0;0;0
